title,type,release_date
Black Mamba,Single,2020-11-17
Forever (약속),Single,2021-02-05
Next Level,Single,2021-05-17
Savage,EP,2021-10-05
Dreams Come True,Single,2021-12-20
도깨비불 (Illusion),Single,2022-06-01
Life’s Too Short,Single,2022-06-24
Girls,EP,2022-07-08
Beautiful Christmas,Single,2022-12-14
Hold On Tight,Single,2023-03-30
Welcome to MY World,Single,2023-05-02
MY WORLD,EP,2023-05-08
Better Things,Single,2023-08-18
포켓몬스터 (2023),EP,2023-08-23
ZOOM ZOOM,Single,2023-10-06
Drama,EP,2023-11-10
Drama,Single,2023-11-10
Jingle Bell Rock,Single,2023-11-24
Over You,Single,2024-03-01
Die Trying,Single,2024-04-04
Supernova,Single,2024-05-13
Armageddon,Album,2024-05-27
Hot Mess,Single,2024-07-02
RE:WORKS,Single,2024-10-07
SYNK : PARALLEL LINE,Single,2024-10-09
RE:WORKS,Single,2024-10-10
Whiplash,EP,2024-10-21
Good Day 2025 (Telepathy + By the Moonlight Window),Single,2025-04-24
Dirty Work,Single,2025-06-27
Dark Arts,Single,2025-07-15
