title,type,release_date
Star to a Young Culture,Single,2020-11-12
STAYDOM,Single,2021-04-08
STEREOTYPE,EP,2021-09-06
YOUNG‐LUV.COM,EP,2022-02-21
우리들의 블루스 OST Part 8,Single,2022-05-15
WE NEED LOVE,Single,2022-07-19
POPPY,Single,2022-11-16
Poppy (Korean ver.),Single,2023-02-03
Teddy Bear,Single,2023-02-14
Teddy Bear -Japanese Ver.-,Single,2023-04-05
TEENFRESH,EP,2023-08-16
LIT,Single,2023-11-29
Bubble (Japanese Ver.),Single,2023-12-06
Fancy,Single,2024-03-15
Metamorphic,Album,2024-07-01
MEOW / Cheeky Icy Thang (Japanese ver.),Single,2024-08-21
…l,Single,2024-10-30
GPT (Japanese ver.) / Tell Me Now,Single,2024-11-13
"Over U, Goodbye (Seeun x J)",Single,2024-12-24
S,Single,2025-03-18
"Lover, Killer / BEBE (Japanese ver.)",Single,2025-06-04
I WANT IT,Single,2025-07-23
